iteration,hv
1,40.195070593355894
2,44.024249776226206
3,44.024249776226206
4,45.344525770366566
5,45.63708096025391
6,45.63708096025391
7,145.47923645767855
8,147.22932339896573
9,147.22932339896573
10,147.7468727059593
11,148.06291536715676
12,148.0636329090527
13,166.61672582149689
14,167.4014365302985
15,167.4014365302985
16,167.4014365302985
17,167.4014365302985
18,167.4014365302985
19,168.941997312578
20,168.941997312578
21,168.941997312578
22,455.5008889385124
23,473.09084789181037
24,475.5080880077069
25,476.0430527332102
26,476.104172334984
27,476.1098253077647
28,989.7709368069613
29,995.9698934007197
30,995.9698934007197
31,1013.549949776933
32,1013.7427194502444
33,1014.6346603673325
34,1015.1730325928925
35,1015.1905559621248
36,1015.1905559621248
37,1048.0406366519014
38,1048.0406366519014
39,1051.3728297475639
40,1066.3994501227962
41,1066.3994501227962
42,1067.5462793112965
43,1086.372707537342
44,1086.629899386053
45,1086.629899386053
46,1381.8680491422722
47,1383.9178161395823
48,1383.9178161395823
49,1459.8500497531318
50,1459.8500497531318
51,1464.3298032624864
